Flight Count,Year,Month,Week,Day,Day of Week,Holiday
2998,2019,1,1,2,Wed,
2862,2019,1,1,3,Thu,
2856,2019,1,1,4,Fri,
2483,2019,1,1,5,Sat,
2876,2019,1,1,6,Sun,
2945,2019,1,2,7,Mon,
2796,2019,1,2,8,Tue,
2827,2019,1,2,9,Wed,
2935,2019,1,2,10,Thu,
2929,2019,1,2,11,Fri,
2220,2019,1,2,12,Sat,
2712,2019,1,2,13,Sun,
2924,2019,1,3,14,Mon,
2763,2019,1,3,15,Tue,
2797,2019,1,3,16,Wed,
2928,2019,1,3,17,Thu,
2925,2019,1,3,18,Fri,
2173,2019,1,3,19,Sat,
2457,2019,1,3,20,Sun,
2867,2019,1,4,21,Mon,Martin Luther King Jr. Day
2767,2019,1,4,22,Tue,
2798,2019,1,4,23,Wed,
2931,2019,1,4,24,Thu,
2930,2019,1,4,25,Fri,
2204,2019,1,4,26,Sat,
2713,2019,1,4,27,Sun,
2925,2019,1,5,28,Mon,
2766,2019,1,5,29,Tue,
2798,2019,1,5,30,Wed,
2928,2019,1,5,31,Thu,
2950,2019,2,5,1,Fri,
2195,2019,2,5,2,Sat,
2497,2019,2,5,3,Sun,
2952,2019,2,6,4,Mon,
2758,2019,2,6,5,Tue,
2794,2019,2,6,6,Wed,
2929,2019,2,6,7,Thu,
2927,2019,2,6,8,Fri,
2206,2019,2,6,9,Sat,
2706,2019,2,6,10,Sun,
2919,2019,2,7,11,Mon,
2758,2019,2,7,12,Tue,
2810,2019,2,7,13,Wed,
3033,2019,2,7,14,Thu,
3040,2019,2,7,15,Fri,
2350,2019,2,7,16,Sat,
2631,2019,2,7,17,Sun,
2996,2019,2,8,18,Mon,Washington's Birthday
2944,2019,2,8,19,Tue,
2973,2019,2,8,20,Wed,
3037,2019,2,8,21,Thu,
3030,2019,2,8,22,Fri,
2410,2019,2,8,23,Sat,
2851,2019,2,8,24,Sun,
3029,2019,2,9,25,Mon,
2937,2019,2,9,26,Tue,
2856,2019,2,9,27,Wed,
3036,2019,2,9,28,Thu,
3034,2019,3,9,1,Fri,
2527,2019,3,9,2,Sat,
2939,2019,3,9,3,Sun,
3094,2019,3,10,4,Mon,
2997,2019,3,10,5,Tue,
3024,2019,3,10,6,Wed,
3111,2019,3,10,7,Thu,
3158,2019,3,10,8,Fri,
2600,2019,3,10,9,Sat,
3018,2019,3,10,10,Sun,
3163,2019,3,11,11,Mon,
